,year,imdb,title,clean_test,binary,genre,age_rating,budget_2013$,star_rating,director,cast,writer
278,2011,tt1535616,The Divide,ok,1,Drama,R,3107072,5.8,Xavier Gens,1.6000000000000001,1.0
279,2011,tt1235170,The Future,ok,1,Comedy,R,1035691,6.2,Miranda July,1.3999999999999999,2.0
280,2011,tt1568346,The Girl with the Dragon Tattoo,notalk,0,Crime,R,93212171,7.9,David Fincher,1.0,0.0
281,2011,tt0990407,The Green Hornet,notalk,0,Action,PG13,113925987,5.9,Michel Gondry,2.7999999999999998,0
282,2011,tt1540133,The Guard,notalk,0,Comedy,R,6214145,7.3,John Michael McDonagh,0.0,0.0
283,2011,tt1454029,The Help,ok,1,Drama,PG13,25892270,8.1,Tate Taylor,2.7999999999999998,1.0
284,2011,tt1007029,The Iron Lady,ok,1,Biography,PG13,14499671,6.4,Phyllida Lloyd,3.7999999999999998,0
285,2011,tt1189340,The Lincoln Lawyer,notalk,0,Crime,R,41427631,7.3,Brad Furman,1.0,0.0
286,2011,tt0472399,The Mechanic,nowomen,0,Action,R,44016858,6.6,Simon West,0.80000000000000004,0.33333333333333331
287,2011,tt1204342,The Muppets,notalk,0,Comedy,PG,46606085,7.2,James Bobin,2.0,1.0
288,2011,tt1161864,The Rite,dubious,0,Drama,PG13,38320559,6.0,Mikael Håfström,1.2,0.0
289,2011,tt1265990,The Roommate,ok,1,Drama,PG13,16571053,4.8,Christian E. Christiansen,1.3999999999999999,1.0
290,2011,tt0472181,The Smurfs,ok,1,Animation,PG,113925987,5.5,Raja Gosnell,2.0,3.7142857142857144
291,2011,tt1509767,The Three Musketeers,men,0,Action,PG13,93212171,5.8,Paul W.S. Anderson,0.59999999999999998,0.66666666666666663
292,2011,tt0478304,The Tree of Life,nowomen,0,Drama,PG13,36249178,6.7,Terrence Malick,0.80000000000000004,1.0
293,2011,tt1324999,The Twilight Saga: Breaking Dawn - Part 1,ok,1,Adventure,PG13,132050575,4.9,Bill Condon,2.0,3.0
294,2011,tt0800369,Thor,ok,1,Action,PG13,155353618,7.0,Kenneth Branagh,2.7999999999999998,1.3333333333333333
295,2011,tt1340800,Tinker Tailor Soldier Spy,notalk,0,Drama,R,21749507,7.1,Tomas Alfredson,0.59999999999999998,0.66666666666666663
296,2011,tt0471042,Tower Heist,notalk,0,Action,PG13,88033717,6.2,Brett Ratner,1.3999999999999999,0.0
297,2011,tt1399103,Transformers: Dark of the Moon,ok,1,Action,PG13,201959703,6.3,Michael Bay,2.3999999999999999,5.0
298,2011,tt1568911,War Horse,notalk,0,Drama,PG13,72498355,7.2,Steven Spielberg,0.20000000000000001,0.75
299,2011,tt1291584,Warrior,notalk,0,Drama,PG13,25892270,8.2,Gavin O'Connor,0.0,0.0
300,2011,tt1389137,We Bought a Zoo,men,0,Comedy,PG,51784539,7.1,Cameron Crowe,2.6000000000000001,0.33333333333333331
301,2011,tt1714210,Weekend,notalk,0,Drama,NR,196781,7.7,Andrew Haigh,0.0,0.0
302,2011,tt0770703,What&#39;s Your Number,ok,1,Comedy,R,20713816,6.0,Mark Mylod,1.6000000000000001,1.0
303,2011,tt1449283,Winnie the Pooh,nowomen,0,Animation,G,31070724,7.3,Stephen J. Anderson,0.40000000000000002,0
304,2011,tt1270798,X-Men: First Class,ok,1,Action,PG13,165710526,7.8,Matthew Vaughn,2.0,1.8333333333333333
305,2011,tt1625346,Young Adult,ok,1,Comedy,R,12428289,6.3,Jason Reitman,2.0,3.0
306,2011,tt1742336,Your Sister&#39;s Sister,ok,1,Comedy,R,124283,6.7,Lynn Shelton,1.6000000000000001,1.0
307,2010,tt1542344,127 Hours,dubious,0,Adventure,R,19228173,7.6,Danny Boyle,0.80000000000000004,0.0
308,2010,tt1014759,Alice in Wonderland,ok,1,Adventure,PG,213646368,6.5,Tim Burton,4.2000000000000002,1.5
309,2010,tt1313092,Animal Kingdom,notalk,0,Crime,R,4486574,7.3,David Michôd,0.20000000000000001,0.0
310,2010,tt1431181,Another Year,ok,1,Comedy,PG13,8545855,7.3,Mike Leigh,1.3999999999999999,5.0
311,2010,tt1423894,Barney&#39;s Version,ok,1,Comedy,R,32046955,7.3,Richard J. Lewis,1.2,1.0
312,2010,tt1532503,Beginners,notalk,0,Comedy,R,3418342,7.2,Mike Mills,0.59999999999999998,0.0
313,2010,tt1164999,Biutiful,notalk,0,Drama,R,37388114,7.5,Alejandro González Iñárritu,0.0,0.0
314,2010,tt0947798,Black Swan,ok,1,Drama,R,13887014,8.0,Darren Aronofsky,3.0,1.75
315,2010,tt1120985,Blue Valentine,men,0,Drama,R,1068232,7.4,Derek Cianfrance,1.2,0.0
316,2010,tt1126591,Burlesque,ok,1,Drama,PG13,58752751,6.4,Steve Antin,1.8,1.0
